epoch,train_accuracy,test_accuracy
1,0.9973730721207111,0.9971862195100505
2,0.9974544079629988,0.9973708738547034
3,0.9974566062290066,0.9973972530467967
4,0.9974566062290066,0.9974148391748588
5,0.9974566062290066,0.9973620807906723
6,0.9974741923570687,0.9973532877266412
7,0.9974763906230765,0.9973620807906723
8,0.9974785888890843,0.9973444946626101
9,0.9974873819531154,0.9973357015985791
10,0.9974873819531154,0.997326908534548
11,0.9974939767511387,0.9973357015985791
12,0.9974917784851309,0.9973357015985791
13,0.9974983732831543,0.9973357015985791
14,0.9975115628792008,0.997326908534548
15,0.9975071663471854,0.9973444946626101
